tweet,username,likes_count,date
"""Broken people save Broken people"" #TheGuilty  https://t.co/BTnaKEIYKf",sainathsrv,5,2021-10-12
"Highly recommend #TheGuilty on Netflix.  More twists and turns than a rollercoaster, but a very good watch.",hanlrobson,1,2021-10-12
How #TheGuilty #Sound Designers Cranked the Tension in Antoine Fuqua &amp; Jake Gyllenhaal’s #Thriller   https://t.co/U9LZyWkYg6,snlbjrc,0,2021-10-12
"Stop #SquidGame arguments when there is a perfectly good Jake Gyllenhaal movie, that we can ALL hate. Together. #theguiltynetflix #TheGuilty",anna_adara,1,2021-10-12
just watched #TheGuilty (2021).,ridonesx,0,2021-10-12
A fresh look at the old kidnapping storyline  https://t.co/9iYqKI7STk #TheGuilty  https://t.co/TL6N2874ZB,shona_harding,0,2021-10-12
#Podcast 🎧 episode 21 now available covering #NoTimetoDie #TheGuilty #BlackasNight #TheBeguiled &amp; #ShadowintheCloud      Guests: @brookita37 &amp; @Nrossy   #PodcastHQ #PodernFamily #FilmTwitter #Spoilers #MovieReviews   👉🏼  https://t.co/1KQFkNPVa2 👈🏼  https://t.co/8ZuIof0OzC,sceneitcast,7,2021-10-12
"From @netflix, #TheGuilty is a remake of the Danish thriller and follows the story of a demoted police officer who receives a phone call from a kidnapped woman. Starring Jake Gyllenhaal, Ethan Hawke, and @RileyKeough   #Trending  🎥 The Guilty |  https://t.co/L0bEQrU5DN",friendspireapp,0,2021-10-12
BROKEN PEOPLE SAVE BROKEN PEOPLE. #TheGuilty,crbtjstnmrk,0,2021-10-12
How have I just finished watching a movie at 330 A.M. where Jake Gyllenhaal just spoke on the phone for about 90 mins?! What an intense movie! #TheGuilty,iyer_siddhanth,5,2021-10-12
#TheGuilty sur Netflix 💔😢,joblack117,0,2021-10-12
The Guilty - 6.5 Dependable if not a little underwhelming  #theguilty,lt_sludge,0,2021-10-12
#MustWatch #JakeGyllenhaal   Beloved Twitterers   Please see enclosed a must watch Netflix movie. You will find him an extraordinary actor. 1h30mins only him acting like no one else. #TheGuilty  https://t.co/2GPuUUwGpg,ladybirdbiglove,2,2021-10-12
Only a puss won't be able to appreciate Jake Gyllenhaal's amazing acting in #TheGuilty #JakeGyllenhaal,reddy_sukeerth,1,2021-10-12
"#TheGuilty had to be one of the cheapest movies ever filmed, they used 3 rooms, a hallway, some computer screens, and a bathroom for 90 minutes",merlotpapii,0,2021-10-12
Just watched #TheGuilty Wow so good!!!,alexisamore,6,2021-10-12
#TheGuilty isn't being talked about nearly enough. Antoine Fuqua twice now has brought out amazing performances by Jake Gyllenhaal and they've both been ignored for the most part. What a ride that movie was. It's on @netflix !  https://t.co/F9dSOhbWhQ,wewatchedamovie,42,2021-10-12
Give Jake Gyllenhaal his flowers while he’s still alive. #TheGuilty,sakibnazelus,1,2021-10-12
"If y'all haven't already, watch #TheGuilty on @netflix  Absolutely fantastic movie.",lmaoagill,2,2021-10-12
"In the last few mins that I've started writing these tweets Gyllenhaal has shown a crazy range lol he went from angry, to scared, to confused, to arrogant, to remorseful, back to angry and scared again. Jeez that's acting #TheGuilty  https://t.co/ztjxmAfgK5",idryblutch,0,2021-10-12
I’m trying to figure out how they let this man continue acting like that in the call centre #TheGuilty,armanirue,2,2021-10-12
"This is a nice win for Netflix, showing that they continue to attract big talent. 90 minutes and uses every bit of it. #TheGuilty",secretavenger22,1,2021-10-12
"I'm sitting here, delightfully stunned, scared, and in pure awe of that whole movie! JG nailed every damn nuance, I hated him, rooted for him, hated him again, then cried for him! I, somehow, feel violated and content at the same time! Just WOW! #TheGuilty🖤🥰",eliselona333,1,2021-10-12
Jake Gyllenhaal pretty much carries this thriller playing a LA dispatcher navigating a kidnapping call. Didn't see where the story was going inregards to the kidnapping. But Jake's characters personal story is kept hidden. But it won't take much to figure out. #TheGuilty,secretavenger22,0,2021-10-12
#TheGuilty was stupid idc what anyone says.,wickedxxgames,0,2021-10-12
Broken people save broken people. #TheGuilty  https://t.co/6JakmrqsI1,itslizyo,1,2021-10-12
Man #TheGuilty was a waste of time. Whole damn movie took place on the phone.,niecejanel,1,2021-10-12
Woot woot! @tasteofadrian in the house! #TheGuilty,lincolnlhayes,1,2021-10-12
Yo I’m not even done with this movie but 10/10 stars for Jake Gyllenhaal in #TheGuilty   Oh my GOD,kelseyraeokay,2,2021-10-12
#TheGuilty on Netflix definitely gave off copaganda vibes.   not sure what we were supposed to make of that ending🥴,yagirlaley,1,2021-10-12
“Broken people save broken people” dang that hits hard #TheGuilty @netflix great flick,nadiamarie22,0,2021-10-12
broken people save broken people #TheGuilty ❤️,sharafstar22,1,2021-10-12
"Listen to ""Lethal Protector"" by @AmIOnTheAir w. @DXDONMEGA  https://t.co/HddIMOm84j #TV #Movies #Reviews #VenomLetThereBeCarnage #Venom2 #AddamsFamily2 #TheGuilty #TheManySaintsOfNewark #Queenpins #LaBrea",dxdonmega,1,2021-10-12
"Listen to ""Lethal Protector"" by @AmIOnTheAir w. @DXDONMEGA  https://t.co/wRUU5uryyz #TV #Movies #Reviews #VenomLetThereBeCarnage #Venom2 #AddamsFamily2 #TheGuilty #TheManySaintsOfNewark #Queenpins #LaBrea",amiontheair,1,2021-10-12
I’m watching #TheGuilty and there’s no way she’d have her phone that long.,itslizyo,0,2021-10-12
"Liked Jake Gyllenhaal in #TheGuilty  But I still wonder why his character had to be asthmatic..  And his tears was fake, the close shots didn't help 😩  https://t.co/DInInaYoMv",e_bukkie,0,2021-10-12
"Jake Gyllenhaal delivers a career-best performance in Netflix's excruciatingly tense crime thriller, #TheGuilty  Read @jhoffman's review:  https://t.co/jwxiH1l4v2  https://t.co/HcXJUsJ74L",tvguide,26,2021-10-12
#TheGuilty on netflix 😳.,solarpsycho,0,2021-10-12
I just watched #TheGuilty on Netflix!  What a thrilling ride it was with a lot of turning points. I was so immersed in this film and it kept me on edge throughout. It was a thrilling stress inducing experience and Jake Gyllenhaal as per usual absolutely killed it.,drkskellington,0,2021-10-12
"this btch Emily on #TheGuilty is really grinding my gears .. ion know how that man sat &amp; listened to that sht , i would’ve been like “ well btch just die , tfck wrong w. you cause you up here manifesting yo own death &amp; sht while im trying to save yo dumb ass ! “",africanqween_,0,2021-10-12
#TheGuilty 21’ #IMDb #netflix #jakegyllenhaal  The suspense is crazy   https://t.co/45P1OHI0DC,ladydsani,0,2021-10-12
"Wow, I didn’t think I could find a male character more insufferable than I find Joe Baylor in #TheGuilty - he’s a trash bag human the whole way through. Don’t care how it ends. Please tell me the Dane is easier to watch.",hornyfiresale,0,2021-10-12
#TheGuilty on Netflix is pretty decent👌🏽,__jaswx,1,2021-10-12
"""Hollywood has only just begun to reckon with the harm done by ""copaganda,"" and while #TheGuilty tries to address this legacy, the attempt feels hollow.""  https://t.co/9cH67n7tWj",mediaversityrev,0,2021-10-12
You can tell this is a covid movie 😂 #TheGuilty,priscillahhh,0,2021-10-12
"Wow, what a film #TheGuilty is! You literally see everything without seeing anything 🤯  I don’t normally tweet about films etc, but you HAVE to watch it 📺  https://t.co/1kyG8gk4PU",jordanevans1707,1,2021-10-12
"Just found out, #TheGuilty was directed from a van, shot only in 11 days. Powerful story only needs a meticulous teller.",tabeshq,0,2021-10-12
#TheGuilty is the biggest load of crap I’ve ever watched,kirsten_pringle,1,2021-10-11
Emily is ticking me off. #TheGuilty,priscillahhh,0,2021-10-11
"Warning! Do *NOT* watch The Guilty on Netflix. It's just an hour of shitty voice acting and the ""plot twist"" is predictable. #TheGuilty",sweetenedcafe,1,2021-10-11
I rated The Guilty (2021) 7/10  #IMDb #theguilty   https://t.co/yR1temt6mv,agitadorfcp,0,2021-10-11
#JakeGyllenhaal is excellent in #TheGuilty on @NetflixFR what a performance from him again!  https://t.co/kuK1ihg6XO,anneblondel,2,2021-10-11
#TheGuilty (2021) aka Jake Gyllenhaal playing a guy who’s just criminally TERRIBLE at his job 😩,tchtjustine,1,2021-10-11
"My thoughts video on the 2021 Netflix thriller 'The Guilty' is out now! 👀  What movie should I watch next, I wonder?   https://t.co/dW36PHLpQa  #TheGuilty #HorrorMovies #Tiktok",loriirosetv,4,2021-10-11
#TheGreenKnight was a 'lil bit too abstract for me but #TheGuilty was dope. Basically I give a 7+/10 to every movie that makes me cry and since I have kids it's almost every movie including a crying kid..,dekker_,0,2021-10-11
but what a slap this movie 😲😲 really !! very intense and immersive.  #TheGuilty  https://t.co/EKXJSHpBYf,angy_992,0,2021-10-11
Just watched #TheGuilty and the sad truth is that this is probably someone’s reality because they can’t afford to keep taking their mental health medication #AmericaIsFucked,hannah_walker13,0,2021-10-11
"Jake Gyllenhaal in #TheGuilty is something else, that man carried a whole film by himself with a rollercoaster of emotions😰 brilliant film!",_laurahowells,0,2021-10-11
"Jake Gyllenhaal trying to cry in this film, Jesus Christ. Unspeakably terrible stuff #TheGuilty  https://t.co/mjTo0vraem",cianbynature,0,2021-10-11
@netflix that was one hell of a messed up twist  #TheGuilty,brincatjeron,0,2021-10-11
I’m not sure I understand #TheGuilty. Like I get it but…,ezzyd0esit,0,2021-10-11
#TheGuilty on #Netflix is absolute turbo dog shit. Avoid #theguiltynetflix,ads_nybergski,1,2021-10-11
#JakeGyllenhaal talks the unique formal constraints that he and director #AntoineFuqua employed in filming their gripping minimalist thriller #TheGuilty — Read the Q&amp;A on our site:  https://t.co/6Eqea30j8B  https://t.co/Tt659CP1w9,nbrfilm,2,2021-10-11
watching #TheGuilty on netflix and its p good,trans__royale,0,2021-10-11
Jake Gyllenhaal is some actor #TheGuilty,sirtomweakley,0,2021-10-11
watching #TheGuilty on @NetflixUK,michaelcallagh7,0,2021-10-11
This movie is WILD #TheGuilty,bravelilbear,2,2021-10-11
Don't even watch #TheGuilty it's way too long and the pay off ain't worth it.,hastyletweets,1,2021-10-11
